ID,group,hrs,saa,FGF-2,Eotaxin,G-CSF,IL1a,GM-CSF,Fractalkine,IL-13,IL-5,IL-18,IL1B,IL-6,IL-17A,IL-2,IL-4,IL-12,IFNg,IL-8,IP-10,GRO,MCP-1,IL-10,TNFa,RANTES
283,LB40,0,0,10,10,11,12,10,10,9,24,20,25,28,11,22,26,8,31,43,24,12,8,41,21,15
283,LB40,0.5,0,10,10,14,12,10,11,9,25,20,27,29,11,24,27,8,31,121,25,12,8,43,22,16
283,LB40,1,0,11,10,12,12,10,10,9,29,22.5,29,33,11,27,31,8,37,146,26,13,8,50,25,16
283,LB40,2,0,10,10,12,12,10,11,9,25,21,27,29,11,24,27,8,32,152,27,13,8,46,23,15
283,LB40,4,0,11,10,14,13,11,12,10,23,19,25,27,12,22,23,9,27,154,27,13,9,38,20,16
283,LB40,8,0,9,9,11,12,10,10,9,22,16,24,24,11,19,22,8,26,28,25,13,8,40,19,15
283,LB40,24,70,10,9,15,12,9,10,9,25,19,26,26,10,22,25,7,30,54,21,13,8,39,21,15
283,LB40,48,182,11,10,13.5,12,10,11,9,22,19,24.5,27,11,21,24,8,27,147,27,13,8,38,19,16
283,LB40,72,169,10,9,11,11,10,10,9,22,18,24,25,11,20,23,7,27,151,24,12,8,37,18,15
RR,LB40,0,0,11,9,11,11,11.5,10,8,14,16,17,17,10,13,12,8,17,145,20,10,8,24,12,15
RR,LB40,0.5,0,11,9,10,11,11,10,9,13,16,22,18,11,13,12,8,16,160,18,10,8,23,13,15
RR,LB40,1,0,10,9,10,12,11,10,8,14,16,17,17,11,13,12,8,16,180,18,10,8,23,13,15
RR,LB40,2,0,12,10,11,13,12,11,10,15,16,18,18,12,14,13,8,17,174.5,20,11,9,23,14,16
RR,LB40,4,7,12,10,11,13,12,11,10,15,17,19,19,12,14,13,9,19,175,21,11,9,24,14,16
RR,LB40,8,0,10,8,10,12,10,9,8,13,16,19,17,10,13,12,7,18,172,22,9,7,29.5,13,14
RR,LB40,24,499,12,9,11,13,11,10,9,15,16,19,19,11,14,13,8,19,145,20,11,8,24,14,15
RR,LB40,48,891,11,9,10,11,10,10,8,13,15,17,17,11,12,12,7,17,190,18,12,8,22,12,15
RR,LB40,72,1279,10,8,10,11,10,10,8,13,14,16,16,10,12,12,8,17,167,17,10,7,21,12,14
1346,LB20,0,0,12,12,13,14,17,12,13,58,89,135,53,16,33,111,9,139,197,23,12,10,55,24,20
1346,LB20,0.5,0,12,11,14,14,16,12,12,55,82,129,51,16,32,106,9,134,131,22,12,11,53,23,20
1346,LB20,1,0,12,12,14,14,18,12,13,56,85,132,51,16,33,108,10,136,187,23,12,11,56,25,21
1346,LB20,2,0,14,12,15,15,18,13,13.5,61,91,141,57,17,35,115,10,144,220,24,13,12,59,26,22
1346,LB20,4,0,12,11,15,14,16,12,12,57,87.5,132,53,15,34,112,8,136,185.5,23,11,10,56,24,21
1346,LB20,8,0,12,11,14,13,15,12,12,56,84,133,52,16,33,108,9,136,187,22,11,10,58,23,20
1346,LB20,24,27,11,11,14,13,15,12,12,55,82,127,49,15,31,102,9,132,175,20.5,11,10,51,22,20
1346,LB20,48,82,12,11,13.5,13,16,12,12,58,86,133,53,16,33,111,9,137,201,22,11,10,55,23,20
1346,LB20,72,71,11,11,13,13,15,12,12,56,85,130,51,16,33,107,8,135.5,156,21,11,10,53,23,19
7299,LB20,0,0,13,11,15,15,15,13,11,43,58,63,33,56,23,74,9,112,235,28,17,11,35,20,20
7299,LB20,0.5,0,13,10,13,15,15,12,11,47,65,65,36,89,26,83,9,127,158,27,13,10,42,19,19
7299,LB20,1,0,12,10,13,14,14,12,11,45,64,61,33,47,24,78,9,109,220,24,14,10,37,17,18
7299,LB20,2,0,10,9,12,13,14,12,9,48,68,68,37,111,25,87,7,152,204,25,11,8,43,18,17
7299,LB20,4,0,12,11,13,15,15,14,11,55,71,79,42,117,29,98,9,173,211,29,13,10,52,21,19
7299,LB20,8,0,12,10,12.5,15,14,13,10,54,73,72,42,114,29,93,8,174.5,222,30,13,9,56,20,21
7299,LB20,24,340,12,10,13,15,16,13,11,51.5,71,73,41,103,27,90,9,198,221,25,13,10,49,20,20
