ID,group,hrs,saa,Eotaxin,G-CSF,IL1a,IL-5,IL-18,IL-6,IL-17A,IL-2,IL-4,IFNg,IL-8,IP-10,IL-10,TNFa
283,LB40,0,0,10,11,12,24,20,28,11,22,26,31,43,24,41,21
283,LB40,0.5,0,10,14,12,25,20,29,11,24,27,31,121,25,43,22
283,LB40,1,0,10,12,12,29,22.5,33,11,27,31,37,146,26,50,25
283,LB40,2,0,10,12,12,25,21,29,11,24,27,32,152,27,46,23
283,LB40,4,0,10,14,13,23,19,27,12,22,23,27,154,27,38,20
283,LB40,8,0,9,11,12,22,16,24,11,19,22,26,28,25,40,19
283,LB40,24,70,9,15,12,25,19,26,10,22,25,30,54,21,39,21
283,LB40,48,182,10,13.5,12,22,19,27,11,21,24,27,147,27,38,19
283,LB40,72,169,9,11,11,22,18,25,11,20,23,27,151,24,37,18
RR,LB40,0,0,9,11,11,14,16,17,10,13,12,17,145,20,24,12
RR,LB40,0.5,0,9,10,11,13,16,18,11,13,12,16,160,18,23,13
RR,LB40,1,0,9,10,12,14,16,17,11,13,12,16,180,18,23,13
RR,LB40,2,0,10,11,13,15,16,18,12,14,13,17,174.5,20,23,14
RR,LB40,4,7,10,11,13,15,17,19,12,14,13,19,175,21,24,14
RR,LB40,8,0,8,10,12,13,16,17,10,13,12,18,172,22,29.5,13
RR,LB40,24,499,9,11,13,15,16,19,11,14,13,19,145,20,24,14
RR,LB40,48,891,9,10,11,13,15,17,11,12,12,17,190,18,22,12
RR,LB40,72,1279,8,10,11,13,14,16,10,12,12,17,167,17,21,12
1346,LB20,0,0,12,13,14,58,89,53,16,33,111,139,197,23,55,24
1346,LB20,0.5,0,11,14,14,55,82,51,16,32,106,134,131,22,53,23
1346,LB20,1,0,12,14,14,56,85,51,16,33,108,136,187,23,56,25
1346,LB20,2,0,12,15,15,61,91,57,17,35,115,144,220,24,59,26
1346,LB20,4,0,11,15,14,57,87.5,53,15,34,112,136,185.5,23,56,24
1346,LB20,8,0,11,14,13,56,84,52,16,33,108,136,187,22,58,23
1346,LB20,24,27,11,14,13,55,82,49,15,31,102,132,175,20.5,51,22
1346,LB20,48,82,11,13.5,13,58,86,53,16,33,111,137,201,22,55,23
1346,LB20,72,71,11,13,13,56,85,51,16,33,107,135.5,156,21,53,23
7299,LB20,0,0,11,15,15,43,58,33,56,23,74,112,235,28,35,20
7299,LB20,0.5,0,10,13,15,47,65,36,89,26,83,127,158,27,42,19
7299,LB20,1,0,10,13,14,45,64,33,47,24,78,109,220,24,37,17
7299,LB20,2,0,9,12,13,48,68,37,111,25,87,152,204,25,43,18
7299,LB20,4,0,11,13,15,55,71,42,117,29,98,173,211,29,52,21
7299,LB20,8,0,10,12.5,15,54,73,42,114,29,93,174.5,222,30,56,20
7299,LB20,24,340,10,13,15,51.5,71,41,103,27,90,198,221,25,49,20
7299,LB20,48,734,11,14,16,55,75,42,117,29,93,238,222,30,50,21
7299,LB20,72,1082,10.5,13,15,53,73,43,115,28,92,235,179,27,45,20
4169,LB20,0,0,10,14,13,42,56,64,11,38,39,72,316,19,62,36
4169,LB20,0.5,0,10,16,12,145.5,202,126.5,12,109,74,142,427,20,171,118
4169,LB20,1,0,9,15,12,152,210,141.5,10,116,81,127,457.5,19,192,133
4169,LB20,2,0,10,11,13,243,340,245.5,12,225,143.5,181,594,19.5,273.5,181
4169,LB20,4,0,9,11,13,268,365,259,11,232.5,155,190.5,621,17.5,295,201
4169,LB20,8,12,10,11,14,273,365,256,12,224,162,204,595,21,320,199
4169,LB20,24,194,15,19,19,198,185,186,19,182,199,193,282,208,174,166.5
4169,LB20,48,445,10,12,14,234,322,225,12,202,139,167.5,559,22,263,171
4169,LB20,72,176,10,11,13,245,340,235,12,227,141.5,182,495,22,254.5,178
1079,LB20,0,0,14,20,18,179.5,172,168,16,164,175,165,262,193,152,154
1079,LB20,0.5,0,12,18,16,142,145,137,13,133,149,137,268,175,125,123
1079,LB20,1,0,13,18,17,194.5,185,188,17,179,201,194,277,234,172,165
1079,LB20,2,0,13,19,18,215,201,201,17,205,222.5,212,304,239,187,179
1079,LB20,4,0,14,19,19,219,203,202,19,201.5,226,219,297,221,189,181
1079,LB20,8,0,14,20,19,220,205,204,18,207,223,213,284,231,199,185.5
1079,LB20,24,354,10,11,13,254,349,246,12,234,147,191,585.5,15,284,192
1079,LB20,48,700,14,19,20,208.5,206.5,200,17,195,214,197,289,216,186,173
1079,LB40,72,686,14,17,18,176,167,168,17,166,186,175,240,206,158,149
597,LB40,0,0,9,10,12,22,42,17,10,17,15,15,90,18,45,17
597,LB40,0.5,0,10,10,13,21,42.5,19,11,18,16,16,139,24,43,18
597,LB40,1,0,9,9,12,20,38,19,10,16,14,15,167,24,38.5,18
597,LB40,2,0,9,10,13,21,42,19,11,17,15,16,209,18,42,19
597,LB40,4,0,10,10,13,22,41,19,11,18,16,17,129,24,47,18
597,LB40,8,0,10,10,13,23,44,19,11,19,15,18,160,24,55,20
597,LB40,24,86,10,10,13,22,46,21,11,19,16,17,172.5,25,52,21
597,LB40,48,126,10,11,13,22,50,21,11,18,16,18,200,21,40,20
597,LB40,72,112,10,9,12,20,50,19,10,18,15,18,208,20,35,17
9372,LB40,0,0,9,10,11,17,16,16,10,13,15,15,44,16,33,13
9372,LB40,0.5,0,9,9,11,19,16,16,10,12,14,15,36,16,30,12
9372,LB40,1,0,9,10,11,16,16,17,10,13,14,15,168,13,28.5,13
9372,LB40,2,0,9,10,12,17,16,17,11,14,14,16,172,16,31,13
9372,LB40,4,0,9,11,11,16,15,17,11,14,14,15,22,11,30,13
9372,LB40,8,0,9,10,11,17,16,17,11,14,15,16,49,17,37,13
9372,LB40,24,78,10,12,12,18,17,18,11,14,15,16,137,19,34,13.5
9372,LB40,48,316,9,9.5,11,16,15,17,10,13,14,14,169,16,25,12
9372,LB40,72,180,9,9,11,17,15,16,10,13,14,15,163,16,25,12
8342,LB20,0,0,9,10,12,22,27,22,16,18,21,24,155,18,29,16
8342,LB20,0.5,0,9,10,12,22,26,22,16,17,20,23,159,19,30,16
8342,LB20,1,0,10,11,13,23,28,23,16,19,20,24,174,17,31,17
8342,LB20,2,0,10,11,12,22,22,19,17,15,18,22,179,18,28,15
8342,LB20,4,0,10,12,12,22,21,19,17,15,18,20,180,18,28,15
8342,LB20,8,0,10,11,13,22,25,21,16,17,20,24,188,19,33,16
8342,LB20,24,1568,9,10,11,20,23,18,17,15,18,20,138,20,28,14
8342,LB20,48,2192,9,10,12,20,22,20,16,16,19,22,176,19,26,15
8342,LB20,72,2682,9,10,11,19,23,18.5,17,15,17,19,193,19,24,14
PEG,LB20,0,0,11,10,15,26,20,22,11,16,21,22.5,126,69,33,17
PEG,LB20,0.5,0,11,11,17,25,22,23,11,16,20,23,212,55,34,19
PEG,LB20,1,0,11,11,15,24,19,19,11,15,19,21,172,67,30,16
PEG,LB20,2,0,9,9,15,20,16,18,10,13,18,20,139,52,29,15
PEG,LB20,4,275,9,9,14,21.5,15,17,10,13,17,20,46,63,31,15
PEG,LB20,8,0,11,11,17,25,19,22,12,15,21,24,121,57,44,21
PEG,LB20,24,56,10,11,17,22,17,21,11,13,19,21,146,47,31.5,18
PEG,LB20,48,486,10,12,15,21,17,19,12,14,19,21,91,58,31,15
PEG,LB20,72,747,10,10,16,21,16,20,11,13,18,20,136,53,29,18
8293,LB40,0,0,11,13,13,80,118.5,57,14,45,135,113,71,26,58,31
8293,LB40,0.5,0,11,14,13,98,135,61,15,49,150,123,125,29,61,34
8293,LB40,1,0,11,13,13,82,113.5,51,14,41,130,111,74,26,56,29
8293,LB40,2,0,11,13,12,79,114,49,14,40,135,117,124,26,55,29
8293,LB40,4,0,10,12,12,73,108,49,13,39,126,110,118,26,55,28
8293,LB40,8,0,11,13,13,81,120,55,14,46,135,116,61,28,64,33
8293,LB40,24,88,11,13,13,96,146,71,14,58,152,128,158,29,68,38
8293,LB40,48,0,10,13,12,81,114,52,14,42,133,114,66,26,57,29
8293,LB40,72,212,11,13,13,83,122,54,14,43,139,121,130,27,59,32
LIB,control,0,0,8,10,11,17,13,16,10,13,15,15,149,19,29,15
LIB,control,0.5,0,9,9,13,35,40,27,11,28,27,27,112,28,44.5,24
LIB,control,1,0,9,10,13,34,41,28,11,28,26,26.5,140,28,43,24
LIB,control,2,0,9,10,14,35,41,28,11,31,28,28,127,30,44,25
LIB,control,4,0,9,9.5,13,31,36,24,10,27,24,24,113,27,41,22
LIB,control,8,0,8,9,12,29,32,23,10,24,24,24,78,29,38,20
LIB,control,24,39,10,10.5,14,39,46,31,11,32,28,30,149,31,52,30
LIB,control,48,50,9,11,14,36,43,30,12,30.5,28,29,138,31,53,28
LIB,control,72,61,9,11,13,34,38,27,11,28,25.5,26,130,27,45,24
AB,LB40,0,1716,8,9,12,28,32,23,9,24,23.5,22,85,26,33,19
AB,LB40,0.5,2146,8,9,12,27,32,23,10,24,22,23,117,23,32,18
AB,LB40,1,1793,9,10,12,27,33,21,10,23,22,21,97,23,30,18
AB,LB40,2,1653,8,9,12,30,34,23,10,26,25,23,103,25,35,19
AB,LB40,4,2298,9,10,12,29,33,23,10,24,24,24,68,26,36,19
AB,LB40,8,2347,9,12,13,27,31,24,10,23,21,21,116,24,32,20
AB,LB40,24,1929,9,9,14,29,34,24,11,25,24,24,103,21,40,21
AB,LB40,48,2397,9,11,13,32,35,27,11,26,26,24,117,26,38,22.5
AB,LB40,72,2033,8,10,12,28,33,24,10,25,23,24,115,23,36,20
NEG,control,0,0,9,12,12,50,158,65,11,59,69,42,121,28,54,41
NEG,control,0.5,0,10,12,12,47,145,59,12,52.5,64,40,123,43,49,37
NEG,control,1,0,10,11.5,12,44,132,52,12,45,59,36,80,26,45,34
NEG,control,2,0,10,12,13,45,139,54,12,48,61,38,50,27,47,35
NEG,control,4,0,10,11,12,45,148,60,12,55,63,39,90,24,51,39
NEG,control,8,0,11,13,13,46,130,49,12,43,61,37,70,28.5,44,34
NEG,control,24,40,10,12,13,49,145,57,12,49,64,41,102,69,49,38
NEG,control,48,182,9,11,12,49,152,66,12,59,65,41,61,62,55,41
NEG,control,72,200,9,10,12,48,155,65,12,59,66,41,124,67,47,41
MAT,control,0,0,9,9,13,50,79,55,11,56,32,30,76,16,83,52
MAT,control,0.5,0,10,10,13,40,58.5,44.5,11,42,26,26,50,15,65,43
MAT,control,1,0,10,10,13,38,58,45,11,42,25,26,103,15,62,41
MAT,control,2,0,9,11,13,53,86,62,11,60,36,33,129,17,92,55
MAT,control,4,0,10,13,13,50,83,62,11.5,57,32,33,184,18,76.5,53
MAT,control,8,0,11,11,14,66,101,72,12,69,43,40,220,19,94.5,69
MAT,control,24,1089,9,11,14,62.5,94,74,11,68,44,44,190.5,18,122,64
MAT,control,48,2015,10,11,15,64,91.5,76,11,72,45,48,214,18,113.5,68
MAT,control,72,1482,9,10,15,69,102,86,11,79,50,47,243,22.5,120,72
Vesunna,control,0,34,5.3,500.15,165.6,424.07,15.81,20,126.23,3,732.96,50,25,18.32,151.94,2
Vesunna,control,0.5,5,4.58,500.15,146.34,356.1,10,20,114.06,3,611.84,50,77.39,16.45,115.4,2
Vesunna,control,1,0,6.01,544.35,154.65,435.42,13.35,20,127.44,3,686.53,50,25,18.32,133.56,2
Vesunna,control,2,11,5.3,500.15,202.68,469.53,15.81,20,148.24,3,751.49,50,25,23.83,151.94,2
Vesunna,control,4,75,5.3,400.51,137.92,407.05,15.81,20,123.81,3,751.49,50,25,14.56,142.73,2
Vesunna,control,8,30,5.3,400.51,160.15,378.72,13.35,20,123.81,3,630.56,50,25,14.56,142.73,2
Vesunna,control,24,114,4.58,400.51,160.15,378.72,12.14,20,121.39,3,621.21,50,25,20.17,151.94,2
Vesunna,control,48,140,5.3,343.05,109.12,364.58,14.57,20,110.37,3,705.12,50,25,5,133.56,2
Vesunna,control,72,128,5.3,400.51,168.31,421.23,13.35,20,127.44,3,686.53,50,25,18.32,133.56,2
